q,tau,delta,AUC_R,AUC_N,Dose,rho_T,S_T,R_T,N_T,A_max,J_N,J_R,J_D,J,No_dominada
0.0,1.4375,0.41,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.4375,0.5,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.625,0.05,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.625,0.14,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.625,0.22999999999999998,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.625,0.32,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.625,0.41,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.625,0.5,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.8125,0.05,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.8125,0.14,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
0.0,1.8125,0.22999999999999998,406520.85149453155,1412602952.1129823,0.0,0.0002473557306351203,816385583.5974385,201987.61530488648,816587571.2127433,0.0,0.1412602952112982,1.1614881471272331e-05,0.0,0.1412719100927695,True
